idx,epoch,direction,score,confidence,imbalance,bayes,hurst,won,hour
19659,1779235205,CALL,7,0.875,2.0,0.46875,0.4982223429364089,True,0
19662,1779235208,CALL,7,1.0,2.0,0.5,0.4975213856160085,True,0
19663,1779235209,CALL,9,1.0,4.0,0.53125,0.44089380524974314,False,0
19665,1779235211,CALL,9,0.9,2.0,0.5625,0.4351875724052693,True,0
19666,1779235212,CALL,10,0.9090909090909091,2.0,0.59375,0.5002263068934395,True,0
19667,1779235213,CALL,9,0.9,4.0,0.625,0.4970604541277608,True,0
19668,1779235214,CALL,7,0.7,4.0,0.59375,0.44745967056578506,True,0
19669,1779235215,CALL,10,0.9090909090909091,4.0,0.59375,0.4688796933075651,True,0
19670,1779235216,CALL,7,0.7,2.0,0.5625,0.4688809878523215,True,0
19671,1779235217,CALL,10,0.9090909090909091,4.0,0.59375,0.4821043069969803,True,0
19672,1779235218,CALL,9,0.9,4.0,0.59375,0.4836022067975014,True,0
19673,1779235219,CALL,9,0.9,4.0,0.59375,0.46961797010810036,True,0
19674,1779235220,CALL,10,0.9090909090909091,6.0,0.59375,0.5064037792729588,True,0
19675,1779235221,CALL,9,0.8181818181818182,6.0,0.625,0.4855916841423518,True,0
19676,1779235222,CALL,8,0.7272727272727273,4.0,0.59375,0.4753086427311868,True,0
19677,1779235223,CALL,7,0.7,2.0,0.59375,0.47513250554642106,True,0
19678,1779235224,CALL,9,0.75,4.0,0.625,0.39879300593773037,False,0
19681,1779235227,CALL,8,0.8,2.0,0.625,0.4195666054093179,False,0
19686,1779235232,PUT,7,0.7777777777777778,-6.0,0.5,0.5380569095587296,True,0
19687,1779235233,PUT,7,0.7777777777777778,-6.0,0.5,0.5434150610356123,True,0
19689,1779235235,PUT,9,0.9,-6.0,0.5,0.6048699112707467,False,0
19692,1779235238,PUT,7,0.7777777777777778,-4.0,0.5,0.6256776346324808,False,0
19702,1779235248,PUT,7,0.875,0.0,0.4375,0.4817764365427615,True,0
19703,1779235249,PUT,7,0.875,-2.0,0.40625,0.48345955063460866,True,0
19704,1779235250,PUT,7,0.875,-4.0,0.375,0.4880694290964513,True,0
19705,1779235251,PUT,9,0.8181818181818182,-6.0,0.34375,0.4964301097994759,True,0
19706,1779235252,PUT,8,0.8,-6.0,0.34375,0.5039392211516674,True,0
19707,1779235253,PUT,9,0.8181818181818182,-8.0,0.34375,0.52457178197784,False,0
19708,1779235254,PUT,7,0.6363636363636364,-8.0,0.34375,0.5200403722215295,False,0
19710,1779235256,PUT,8,0.7272727272727273,-6.0,0.375,0.5469120382660414,False,0
19713,1779235259,PUT,7,0.7,0.0,0.4375,0.5046512357253294,True,0
19714,1779235260,PUT,7,0.7777777777777778,0.0,0.4375,0.49996473557972415,False,0
19718,1779235264,PUT,9,0.9,2.0,0.46875,0.5907647273195574,True,0
19720,1779235266,PUT,8,0.8888888888888888,2.0,0.46875,0.5541068865450214,True,0
19721,1779235267,PUT,8,1.0,0.0,0.4375,0.560477117202105,False,0
19724,1779235270,PUT,8,0.8888888888888888,0.0,0.4375,0.5591833280861997,False,0
19739,1779235285,PUT,7,0.7777777777777778,-2.0,0.53125,0.4101347800633412,False,0
19741,1779235287,PUT,7,0.875,-2.0,0.53125,0.41418071538678064,False,0
19745,1779235291,CALL,7,1.0,2.0,0.53125,0.4192360500964652,False,0
19747,1779235293,CALL,8,0.8,2.0,0.5625,0.45409545328014866,False,0
19756,1779235302,PUT,8,0.8,-6.0,0.4375,0.4488189700497246,False,0
19761,1779235307,PUT,7,0.7777777777777778,-4.0,0.4375,0.4505599828457376,True,0
19762,1779235308,PUT,7,0.875,-4.0,0.4375,0.46999976042872094,True,0
19763,1779235309,PUT,8,0.8888888888888888,-4.0,0.40625,0.4712193891325745,True,0
19765,1779235311,PUT,8,0.8888888888888888,-2.0,0.4375,0.44042665033725653,False,0
19766,1779235312,PUT,8,0.8,-2.0,0.40625,0.4681280372384917,False,0
19767,1779235313,PUT,8,0.8,-4.0,0.375,0.46500422213063575,False,0
19768,1779235314,PUT,7,0.7,-4.0,0.40625,0.46672239724657155,False,0
19770,1779235316,PUT,7,0.875,-4.0,0.40625,0.4795493862180771,False,0
19774,1779235320,CALL,8,0.7272727272727273,2.0,0.46875,0.5080375141095065,False,0
19775,1779235321,CALL,8,0.7272727272727273,4.0,0.46875,0.5364379577089643,False,0
19786,1779235332,CALL,7,0.7777777777777778,3.0,0.5625,0.5031052510012194,True,0
19788,1779235334,CALL,7,0.7777777777777778,1.0,0.53125,0.4475907439262622,True,0
19790,1779235336,CALL,7,0.875,1.0,0.53125,0.4410895623360646,True,0
19791,1779235337,CALL,8,0.8888888888888888,3.0,0.5625,0.46486040921180005,True,0
19792,1779235338,CALL,10,0.9090909090909091,3.0,0.59375,0.5108476666782519,False,0
19793,1779235339,CALL,10,0.9090909090909091,3.0,0.625,0.5100447229109177,True,0
19794,1779235340,CALL,7,0.7,3.0,0.59375,0.49614452805238524,True,0
19796,1779235342,CALL,7,0.7,2.0,0.625,0.5188485645009292,True,0
19797,1779235343,CALL,8,0.8,4.0,0.65625,0.5146115328167256,True,0
19798,1779235344,CALL,11,0.9166666666666666,4.0,0.65625,0.5135347783983555,True,0
19799,1779235345,CALL,8,0.7272727272727273,4.0,0.625,0.5272437717840778,True,0
19800,1779235346,CALL,7,0.7,2.0,0.625,0.475007003165365,True,0
19801,1779235347,CALL,8,0.8,2.0,0.625,0.46763564807200936,True,0
19802,1779235348,CALL,11,0.9166666666666666,2.0,0.625,0.49383515848923165,False,0
19803,1779235349,CALL,9,0.75,2.0,0.625,0.47454505091706095,False,0
19804,1779235350,CALL,11,0.9166666666666666,4.0,0.625,0.4766561635875538,False,0
19805,1779235351,CALL,9,0.9,6.0,0.625,0.4345903646781068,False,0
19806,1779235352,CALL,8,0.7272727272727273,4.0,0.625,0.49778159827455404,True,0
19807,1779235353,CALL,9,0.8181818181818182,4.0,0.625,0.49709215585734584,True,0
19809,1779235355,CALL,9,0.9,4.0,0.59375,0.46008996862404683,True,0
