calm_th,max_cusum,min_hurst,tp,max_hold,trades,wins,winrate,pnl
7.3e-07,4.0,0.45,0.03,1,0,0,0.0,0.0
7.3e-07,4.0,0.45,0.06,2,0,0,0.0,0.0
7.3e-07,4.0,0.45,0.15,5,0,0,0.0,0.0
7.3e-07,4.0,0.45,0.3,9,0,0,0.0,0.0
7.3e-07,4.0,0.5,0.03,1,0,0,0.0,0.0
7.3e-07,4.0,0.5,0.06,2,0,0,0.0,0.0
7.3e-07,4.0,0.5,0.15,5,0,0,0.0,0.0
7.3e-07,4.0,0.5,0.3,9,0,0,0.0,0.0
7.3e-07,5.0,0.45,0.03,1,0,0,0.0,0.0
7.3e-07,5.0,0.45,0.06,2,0,0,0.0,0.0
7.3e-07,5.0,0.45,0.15,5,0,0,0.0,0.0
7.3e-07,5.0,0.45,0.3,9,0,0,0.0,0.0
7.3e-07,5.0,0.5,0.03,1,0,0,0.0,0.0
7.3e-07,5.0,0.5,0.06,2,0,0,0.0,0.0
7.3e-07,5.0,0.5,0.15,5,0,0,0.0,0.0
7.3e-07,5.0,0.5,0.3,9,0,0,0.0,0.0
7.3e-07,6.0,0.45,0.03,1,0,0,0.0,0.0
7.3e-07,6.0,0.45,0.06,2,0,0,0.0,0.0
7.3e-07,6.0,0.45,0.15,5,0,0,0.0,0.0
7.3e-07,6.0,0.45,0.3,9,0,0,0.0,0.0
7.3e-07,6.0,0.5,0.03,1,0,0,0.0,0.0
7.3e-07,6.0,0.5,0.06,2,0,0,0.0,0.0
7.3e-07,6.0,0.5,0.15,5,0,0,0.0,0.0
7.3e-07,6.0,0.5,0.3,9,0,0,0.0,0.0
1e-06,4.0,0.45,0.03,1,0,0,0.0,0.0
1e-06,4.0,0.45,0.06,2,0,0,0.0,0.0
1e-06,4.0,0.45,0.15,5,0,0,0.0,0.0
1e-06,4.0,0.45,0.3,9,0,0,0.0,0.0
1e-06,4.0,0.5,0.03,1,0,0,0.0,0.0
1e-06,4.0,0.5,0.06,2,0,0,0.0,0.0
1e-06,4.0,0.5,0.15,5,0,0,0.0,0.0
1e-06,4.0,0.5,0.3,9,0,0,0.0,0.0
1e-06,5.0,0.45,0.03,1,0,0,0.0,0.0
1e-06,5.0,0.45,0.06,2,0,0,0.0,0.0
1e-06,5.0,0.45,0.15,5,0,0,0.0,0.0
1e-06,5.0,0.45,0.3,9,0,0,0.0,0.0
1e-06,5.0,0.5,0.03,1,0,0,0.0,0.0
1e-06,5.0,0.5,0.06,2,0,0,0.0,0.0
1e-06,5.0,0.5,0.15,5,0,0,0.0,0.0
1e-06,5.0,0.5,0.3,9,0,0,0.0,0.0
1e-06,6.0,0.45,0.03,1,0,0,0.0,0.0
1e-06,6.0,0.45,0.06,2,0,0,0.0,0.0
1e-06,6.0,0.45,0.15,5,0,0,0.0,0.0
1e-06,6.0,0.45,0.3,9,0,0,0.0,0.0
1e-06,6.0,0.5,0.03,1,0,0,0.0,0.0
1e-06,6.0,0.5,0.06,2,0,0,0.0,0.0
1e-06,6.0,0.5,0.15,5,0,0,0.0,0.0
1e-06,6.0,0.5,0.3,9,0,0,0.0,0.0
1.5e-06,4.0,0.45,0.03,1,0,0,0.0,0.0
1.5e-06,4.0,0.45,0.06,2,0,0,0.0,0.0
1.5e-06,4.0,0.45,0.15,5,0,0,0.0,0.0
1.5e-06,4.0,0.45,0.3,9,0,0,0.0,0.0
1.5e-06,4.0,0.5,0.03,1,0,0,0.0,0.0
1.5e-06,4.0,0.5,0.06,2,0,0,0.0,0.0
1.5e-06,4.0,0.5,0.15,5,0,0,0.0,0.0
1.5e-06,4.0,0.5,0.3,9,0,0,0.0,0.0
1.5e-06,5.0,0.45,0.03,1,0,0,0.0,0.0
1.5e-06,5.0,0.45,0.06,2,0,0,0.0,0.0
1.5e-06,5.0,0.45,0.15,5,0,0,0.0,0.0
1.5e-06,5.0,0.45,0.3,9,0,0,0.0,0.0
1.5e-06,5.0,0.5,0.03,1,0,0,0.0,0.0
1.5e-06,5.0,0.5,0.06,2,0,0,0.0,0.0
1.5e-06,5.0,0.5,0.15,5,0,0,0.0,0.0
1.5e-06,5.0,0.5,0.3,9,0,0,0.0,0.0
1.5e-06,6.0,0.45,0.03,1,0,0,0.0,0.0
1.5e-06,6.0,0.45,0.06,2,0,0,0.0,0.0
1.5e-06,6.0,0.45,0.15,5,0,0,0.0,0.0
1.5e-06,6.0,0.45,0.3,9,0,0,0.0,0.0
1.5e-06,6.0,0.5,0.03,1,0,0,0.0,0.0
1.5e-06,6.0,0.5,0.06,2,0,0,0.0,0.0
1.5e-06,6.0,0.5,0.15,5,0,0,0.0,0.0
1.5e-06,6.0,0.5,0.3,9,0,0,0.0,0.0
